taxa	abundance
Alistipes shahii	0.0027
Alteromonas macleodii	0.0027
Anaerofustis stercorihominis	0.0027
Bacteroides caccae	0.0054
Bacteroides eggerthii	0.0027
Bacteroides fragilis	0.0189
Bacteroides helcogenes	0.0027
Bacteroides ovatus	0.0135
Bacteroides sp. 1_1_6	0.0027
Bacteroides sp. 2_2_4	0.0027
Bacteroides sp. 4_1_36	0.0027
Bacteroides sp. D20	0.0027
Bacteroides sp. D22	0.0027
Bacteroides thetaiotaomicron	0.0431
Bacteroides uniformis	0.0216
Bacteroides vulgatus	0.0027
Bifidobacterium bifidum	0.0027
Bifidobacterium catenulatum	0.0081
Bifidobacterium longum	0.0243
Bifidobacterium pseudocatenulatum	0.0135
Bifidobacterium sp. 12_1_47BFAA	0.0027
Blautia hansenii	0.0458
Blautia hydrogenotrophica	0.0216
Buchnera aphidicola	0.0027
Burkholderia cenocepacia	0.0027
Butyrivibrio crossotus	0.0081
Campylobacter jejuni	0.0027
Candidatus Baumannia cicadellinicola	0.0027
Catenibacterium mitsuokai	0.0054
Catenulispora acidiphila	0.0027
Chlamydia pneumoniae	0.0027
Clostridiales bacterium 1_7_47FAA	0.0216
Clostridiales genomosp. BVAB3	0.0027
Clostridium hathewayi	0.0162
Clostridium leptum	0.0027
Clostridium phytofermentans	0.0027
Clostridium proteoclasticum	0.0027
Clostridium ramosum	0.0027
Clostridium saccharolyticum	0.0054
Clostridium sp. M62/1	0.0027
Coprococcus catus	0.0027
Coprococcus comes	0.0296
Coprococcus eutactus	0.0027
Desulfovibrio desulfuricans	0.0027
Desulfovibrio piger	0.0108
Dorea formicigenerans	0.0054
Erysipelothrix rhusiopathiae	0.0027
Erysipelotrichaceae bacterium 3_1_53	0.0431
Erysipelotrichaceae bacterium 5_2_54FAA	0.0189
Escherichia coli	0.0216
Ethanoligenens harbinense	0.0108
Eubacterium rectale	0.0323
Faecalibacterium prausnitzii	0.1321
Flavobacteria bacterium MS024-2A	0.0027
Glaciecola sp. HTCC2999	0.0027
Halobacterium salinarum	0.0027
Hyphomonas neptunium	0.0027
Jannaschia sp. CCS1	0.0027
Lactobacillus acidophilus	0.0027
Lactobacillus fermentum	0.0081
Lactobacillus reuteri	0.0027
Magnetococcus sp. MC-1	0.0054
Marvinbryantia formatexigens	0.0162
Mesoplasma florum	0.0027
Methanobrevibacter smithii	0.0027
Methylophilales bacterium HTCC2181	0.0027
Mycoplasma synoviae	0.0027
Oxalobacter formigenes	0.0027
Prevotella copri	0.0027
Propionibacterium acnes	0.0027
Roseburia intestinalis	0.0027
Ruminococcus albus	0.0027
Ruminococcus bromii	0.0216
Ruminococcus obeum	0.0081
Ruminococcus sp. 5_1_39BFAA	0.0701
Ruminococcus sp. SR1/5	0.0162
Salmonella enterica	0.0108
Shuttleworthia satelles	0.0027
Sinorhizobium meliloti	0.0027
Streptococcus anginosus	0.0027
Streptococcus dysgalactiae	0.0027
Subdoligranulum variabile	0.0566
Variovorax paradoxus	0.0027
Xanthomonas campestris	0.0027
Yersinia ruckeri	0.0027
Zunongwangia profunda	0.0027
unclassified	0.0674
