taxa	abundance
Abiotrophia defectiva	0.0057
Acaryochloris marina	0.0011
Acetobacter pasteurianus	0.0006
Acholeplasma laidlawii	0.0062
Achromobacter piechaudii	0.0003
Acidimicrobium ferrooxidans	0.0017
Acidiphilium cryptum	0.0006
Acidithiobacillus ferrooxidans	0.0008
Acidobacterium capsulatum	0.0011
Acidothermus cellulolyticus	0.0042
Acinetobacter baumannii	0.0045
Acinetobacter johnsonii	0.0006
Acinetobacter lwoffii	0.0003
Acinetobacter radioresistens	0.0008
Actinobacillus pleuropneumoniae	0.0011
Actinobacillus succinogenes	0.0011
Actinomyces odontolyticus	0.0023
Actinomyces sp. oral taxon 171	0.0003
Actinomyces sp. oral taxon 848	0.0023
Actinomyces urogenitalis	0.0008
Actinomyces viscosus	0.0006
Actinosynnema mirum	0.0014
Aeromicrobium marinum	0.0014
Aeromonas hydrophila	0.0003
Aeropyrum pernix	0.0003
Aggregatibacter actinomycetemcomitans	0.0006
Agrobacterium tumefaciens	0.0011
Akkermansia muciniphila	0.0025
Albidiferax ferrireducens	0.0006
Alcanivorax borkumensis	0.0011
Algoriphagus sp. PR1	0.0006
Alicycliphilus denitrificans	0.0003
Alicyclobacillus acidocaldarius	0.0008
Aliivibrio fischeri	0.0003
Aliivibrio salmonicida	0.0003
Alistipes putredinis	0.0014
Alkaliphilus metalliredigens	0.0008
Allochromatium vinosum	0.0006
Alteromonadales bacterium TW-7	0.0006
Alteromonas macleodii	0.0003
Ammonifex degensii	0.0003
Amycolatopsis mediterranei	0.0003
Anabaena variabilis	0.0003
Anaerobaculum hydrogeniformans	0.0017
Anaerococcus lactolyticus	0.0006
Anaerococcus prevotii	0.0006
Anaerococcus tetradius	0.0003
Anaerococcus vaginalis	0.0003
Anaerofustis stercorihominis	0.0020
Anaeromyxobacter dehalogenans	0.0011
Anaerostipes caccae	0.0008
Anaerotruncus colihominis	0.0003
Anaplasma centrale	0.0003
Anaplasma marginale	0.0003
Anaplasma phagocytophilum	0.0003
Aquifex aeolicus	0.0014
Arcobacter butzleri	0.0003
Aromatoleum aromaticum	0.0008
Arsenophonus nasoniae	0.0008
Arthrobacter aurescens	0.0107
Arthrobacter chlorophenolicus	0.0042
Arthrobacter sp. FB24	0.0020
Arthrospira platensis	0.0014
Asticcacaulis excentricus	0.0023
Atopobium parvulum	0.0003
Atopobium rimae	0.0011
Aurantimonas manganoxydans	0.0008
Azoarcus sp. BH72	0.0006
Azorhizobium caulinodans	0.0014
