taxa	abundance
Abiotrophia defectiva	0.0011
Acetivibrio cellulolyticus	0.0011
Acinetobacter baumannii	0.0011
Actinomyces sp. oral taxon 848	0.0011
Actinosynnema mirum	0.0011
Anaerofustis stercorihominis	0.0022
Anaerostipes caccae	0.0133
Anaerostipes sp. 3_2_56FAA	0.0011
Anaerotruncus colihominis	0.0155
Bacillus cereus	0.0299
Bacillus thuringiensis	0.0033
Bacteroides caccae	0.0044
Bacteroides cellulosilyticus	0.0144
Bacteroides dorei	0.0011
Bacteroides eggerthii	0.0033
Bacteroides finegoldii	0.0011
Bacteroides fragilis	0.0111
Bacteroides helcogenes	0.0033
Bacteroides intestinalis	0.0066
Bacteroides ovatus	0.0066
Bacteroides sp. 2_1_7	0.0011
Bacteroides sp. 2_2_4	0.0011
Bacteroides sp. D20	0.0022
Bacteroides sp. D22	0.0033
Bacteroides stercoris	0.0011
Bacteroides thetaiotaomicron	0.0155
Bacteroides uniformis	0.0055
Bacteroides vulgatus	0.0088
Bartonella bacilliformis	0.0011
Bifidobacterium angulatum	0.0011
Bifidobacterium catenulatum	0.0066
Bifidobacterium dentium	0.0011
Bifidobacterium longum	0.0066
Bifidobacterium pseudocatenulatum	0.0066
Bifidobacterium sp. 12_1_47BFAA	0.0011
Bilophila wadsworthia	0.0033
Blautia hansenii	0.0210
Blautia hydrogenotrophica	0.0155
Borrelia afzelii	0.0011
Borrelia burgdorferi	0.0011
Buchnera aphidicola	0.0033
Burkholderia cenocepacia	0.0011
Burkholderia pseudomallei	0.0022
Butyrivibrio crossotus	0.0088
Butyrivibrio fibrisolvens	0.0011
Caldicellulosiruptor obsidiansis	0.0011
Catenibacterium mitsuokai	0.0022
Chlamydia pneumoniae	0.0022
Clostridiales bacterium 1_7_47FAA	0.0387
Clostridiales genomosp. BVAB3	0.0011
Clostridium asparagiforme	0.0188
Clostridium bolteae	0.0144
Clostridium butyricum	0.0011
Clostridium difficile	0.0011
Clostridium hathewayi	0.0265
Clostridium leptum	0.0088
Clostridium methylpentosum	0.0022
Clostridium nexile	0.0022
Clostridium proteoclasticum	0.0022
Clostridium ramosum	0.0011
Clostridium saccharolyticum	0.0088
Clostridium scindens	0.0133
Clostridium sp. L2-50	0.0044
Clostridium sp. M62/1	0.0122
Clostridium sp. SS2/1	0.0011
Clostridium sporogenes	0.0011
Coprococcus catus	0.0066
Coprococcus comes	0.0122
Coprococcus eutactus	0.0033
Corynebacterium tuberculostearicum	0.0011
Cupriavidus metallidurans	0.0011
Cyanothece sp. PCC 7425	0.0011
Desulfobacterium autotrophicum	0.0011
Desulfotomaculum acetoxidans	0.0011
Desulfovibrio desulfuricans	0.0011
Desulfovibrio piger	0.0055
Desulfovibrio vulgaris	0.0033
Dichelobacter nodosus	0.0011
Dinoroseobacter shibae	0.0011
Dorea formicigenerans	0.0011
Dorea longicatena	0.0066
Elusimicrobium minutum	0.0011
Enhydrobacter aerosaccus	0.0011
Epulopiscium sp. 'N.t. morphotype B'	0.0022
Erysipelothrix rhusiopathiae	0.0011
