taxa	abundance
Abiotrophia defectiva	0.0010
Acetivibrio cellulolyticus	0.0010
Acidimicrobium ferrooxidans	0.0010
Acinetobacter sp. DR1	0.0010
Actinomyces sp. oral taxon 848	0.0010
Aggregatibacter aphrophilus	0.0010
Alicyclobacillus acidocaldarius	0.0010
Anaerococcus prevotii	0.0010
Anaerofustis stercorihominis	0.0140
Anaerostipes caccae	0.0050
Anaerotruncus colihominis	0.0080
Anaplasma marginale	0.0010
Bacillus anthracis	0.0010
Bacillus cereus	0.0290
Bacillus licheniformis	0.0010
Bacillus subtilis	0.0170
Bacillus thuringiensis	0.0040
Bacteroides caccae	0.0010
Bacteroides cellulosilyticus	0.0090
Bacteroides coprocola	0.0020
Bacteroides coprophilus	0.0010
Bacteroides dorei	0.0050
Bacteroides finegoldii	0.0010
Bacteroides fragilis	0.0040
Bacteroides helcogenes	0.0020
Bacteroides intestinalis	0.0050
Bacteroides ovatus	0.0080
Bacteroides plebeius	0.0080
Bacteroides sp. 2_2_4	0.0010
Bacteroides sp. 4_1_36	0.0010
Bacteroides sp. D1	0.0010
Bacteroides sp. D20	0.0010
Bacteroides sp. D22	0.0030
Bacteroides stercoris	0.0070
Bacteroides thetaiotaomicron	0.0080
Bacteroides uniformis	0.0130
Bacteroides vulgatus	0.0030
Bacteroides xylanisolvens	0.0010
Bifidobacterium catenulatum	0.0010
Bifidobacterium longum	0.0060
Bifidobacterium pseudocatenulatum	0.0040
Bilophila wadsworthia	0.0010
Blautia hansenii	0.0160
Blautia hydrogenotrophica	0.0190
Borrelia burgdorferi	0.0010
Borrelia hermsii	0.0010
Brevibacillus brevis	0.0020
Brucella abortus	0.0020
Burkholderiales bacterium 1_1_47	0.0010
Butyrivibrio crossotus	0.0070
Butyrivibrio fibrisolvens	0.0030
Campylobacter concisus	0.0010
Candidatus Baumannia cicadellinicola	0.0010
Candidatus Liberibacter asiaticus	0.0010
Candidatus Phytoplasma australiense	0.0010
Capnocytophaga gingivalis	0.0010
Cardiobacterium hominis	0.0010
Catenibacterium mitsuokai	0.0020
Catonella morbi	0.0020
Caulobacter sp. K31	0.0010
Cellvibrio japonicus	0.0010
Chlamydia pneumoniae	0.0010
Citrobacter koseri	0.0010
Clostridiales bacterium 1_7_47FAA	0.0200
Clostridiales genomosp. BVAB3	0.0010
Clostridium asparagiforme	0.0170
Clostridium bolteae	0.0340
Clostridium botulinum	0.0020
Clostridium difficile	0.0010
Clostridium hathewayi	0.0130
Clostridium hylemonae	0.0010
Clostridium leptum	0.0030
Clostridium methylpentosum	0.0010
Clostridium phytofermentans	0.0020
Clostridium proteoclasticum	0.0010
Clostridium ramosum	0.0010
Clostridium saccharolyticum	0.0080
Clostridium scindens	0.0040
Clostridium sp. L2-50	0.0040
Clostridium sp. M62/1	0.0050
Clostridium sp. SS2/1	0.0040
Comamonas testosteroni	0.0010
Coprococcus catus	0.0050
Coprococcus comes	0.0220
Coprococcus eutactus	0.0030
Coprothermobacter proteolyticus	0.0010
Desulfovibrio vulgaris	0.0030
Dethiobacter alkaliphilus	0.0010
Dichelobacter nodosus	0.0010
Dorea formicigenerans	0.0040
Eggerthella lenta	0.0010
Enterococcus faecium	0.0010
Epulopiscium sp. 'N.t. morphotype B'	0.0020
Erwinia amylovora	0.0010
Erysipelotrichaceae bacterium 3_1_53	0.0020
Escherichia coli	0.0100
Ethanoligenens harbinense	0.0210
Eubacterium dolichum	0.0010
Eubacterium eligens	0.0090
Eubacterium hallii	0.0030
Eubacterium rectale	0.0100
Eubacterium saphenum	0.0040
Eubacterium ventriosum	0.0040
