taxa	abundance
Abiotrophia defectiva	0.0017
Acaryochloris marina	0.0003
Acholeplasma laidlawii	0.0011
Achromobacter xylosoxidans	0.0003
Acidaminococcus fermentans	0.0006
Acidaminococcus sp. D21	0.0009
Acidimicrobium ferrooxidans	0.0028
Acidithiobacillus caldus	0.0011
Acidithiobacillus ferrooxidans	0.0011
Acidothermus cellulolyticus	0.0009
Acidovorax citrulli	0.0006
Acidovorax delafieldii	0.0006
Acidovorax ebreus	0.0006
Acidovorax sp. JS42	0.0006
Aciduliprofundum boonei	0.0006
Acinetobacter baumannii	0.0034
Acinetobacter johnsonii	0.0006
Actinobacillus pleuropneumoniae	0.0003
Actinomyces odontolyticus	0.0017
Actinomyces sp. oral taxon 171	0.0003
Actinomyces sp. oral taxon 848	0.0031
Actinomyces urogenitalis	0.0014
Actinosynnema mirum	0.0011
Aeromicrobium marinum	0.0011
Aeromonas hydrophila	0.0006
Aeromonas salmonicida	0.0006
Aeropyrum pernix	0.0014
Afipia sp. 1NLS2	0.0011
Aggregatibacter aphrophilus	0.0003
Agrobacterium tumefaciens	0.0028
Agrobacterium vitis	0.0009
Akkermansia muciniphila	0.0020
Albidiferax ferrireducens	0.0020
Alcanivorax borkumensis	0.0003
Alcanivorax sp. DG881	0.0003
Algoriphagus sp. PR1	0.0006
Alicycliphilus denitrificans	0.0006
Alicyclobacillus acidocaldarius	0.0014
Aliivibrio fischeri	0.0006
Alistipes shahii	0.0003
Alkalilimnicola ehrlichii	0.0006
Alkaliphilus metalliredigens	0.0003
Alteromonadales bacterium TW-7	0.0006
Alteromonas macleodii	0.0003
Aminomonas paucivorans	0.0006
Ammonifex degensii	0.0009
Amycolatopsis mediterranei	0.0003
Anabaena variabilis	0.0003
Anaerobaculum hydrogeniformans	0.0009
Anaerofustis stercorihominis	0.0003
Anaeromyxobacter dehalogenans	0.0017
Anaeromyxobacter sp. Fw109-5	0.0006
Anaerostipes caccae	0.0006
Anaerotruncus colihominis	0.0009
Anaplasma marginale	0.0003
Anaplasma phagocytophilum	0.0003
Anoxybacillus flavithermus	0.0014
Archaeoglobus fulgidus	0.0006
Archaeoglobus profundus	0.0009
Arcobacter butzleri	0.0006
Aromatoleum aromaticum	0.0009
Arthrobacter arilaitensis	0.0003
Arthrobacter aurescens	0.0006
Arthrobacter chlorophenolicus	0.0006
Arthrospira platensis	0.0006
Aster yellows witches'-broom phytoplasma	0.0009
Asticcacaulis excentricus	0.0009
Atopobium parvulum	0.0003
Atopobium rimae	0.0003
Atopobium vaginae	0.0060
Aurantimonas manganoxydans	0.0006
Azoarcus sp. BH72	0.0009
Azorhizobium caulinodans	0.0003
Azospirillum sp. B510	0.0009
Azotobacter vinelandii	0.0003
Bacillus cellulosilyticus	0.0006
Bacillus cereus	0.0074
Bacillus halodurans	0.0006
Bacillus licheniformis	0.0009
Bacillus megaterium	0.0006
Bacillus pseudofirmus	0.0009
Bacillus pumilus	0.0017
Bacillus sp. NRRL B-14911	0.0003
Bacillus sp. m3-13	0.0003
Bacteroides cellulosilyticus	0.0003
Bacteroides coprocola	0.0003
Bacteroides coprophilus	0.0006
Bacteroides finegoldii	0.0006
Bacteroides sp. 2_1_7	0.0003
Bacteroides uniformis	0.0003
Bartonella bacilliformis	0.0003
Bartonella clarridgeiae	0.0003
Bartonella henselae	0.0003
Bartonella schoenbuchensis	0.0003
Bartonella tribocorum	0.0003
Bdellovibrio bacteriovorus	0.0006
Beggiatoa sp. PS	0.0003
Beijerinckia indica	0.0031
Bermanella marisrubri	0.0017
Beutenbergia cavernae	0.0006
Bifidobacterium adolescentis	0.0003
Bifidobacterium angulatum	0.0006
Bifidobacterium animalis	0.0665
Bifidobacterium catenulatum	0.0003
Bifidobacterium dentium	0.0077
Bifidobacterium longum	0.0156
Bifidobacterium pseudocatenulatum	0.0006
Blastopirellula marina	0.0011
Blattabacterium sp. (Blattella germanica)	0.0009
Blattabacterium sp. (Periplaneta americana)	0.0009
Bordetella avium	0.0011
Bordetella bronchiseptica	0.0003
Borrelia afzelii	0.0006
Borrelia bavariensis	0.0003
Borrelia burgdorferi	0.0003
Borrelia garinii	0.0003
Borrelia hermsii	0.0006
Borrelia recurrentis	0.0006
Borrelia sp. SV1	0.0003
Borrelia turicatae	0.0003
Borrelia valaisiana	0.0006
Brachybacterium faecium	0.0020
Brachyspira murdochii	0.0003
Bradyrhizobium japonicum	0.0006
Bradyrhizobium sp. BTAi1	0.0006
Bradyrhizobium sp. ORS 278	0.0006
Brevibacillus brevis	0.0003
Brevibacterium linens	0.0026
Brevundimonas sp. BAL3	0.0028
Brevundimonas subvibrioides	0.0003
Brucella ceti	0.0011
Brucella microti	0.0105
Brucella ovis	0.0003
Buchnera aphidicola	0.0040
Bulleidia extructa	0.0017
Burkholderia cenocepacia	0.0020
Burkholderia phymatum	0.0006
Burkholderia pseudomallei	0.0045
Burkholderia rhizoxinica	0.0009
Burkholderia sp. CCGE1001	0.0003
Burkholderia sp. CCGE1002	0.0017
Burkholderia sp. CCGE1003	0.0006
Burkholderia sp. H160	0.0006
Burkholderia thailandensis	0.0014
Burkholderia xenovorans	0.0003
Burkholderiales bacterium 1_1_47	0.0020
Butyrivibrio crossotus	0.0003
Butyrivibrio fibrisolvens	0.0006
Caldicellulosiruptor kristjanssonii	0.0003
Caldicellulosiruptor owensensis	0.0003
Caldivirga maquilingensis	0.0065
Campylobacter jejuni	0.0017
Campylobacterales bacterium GD 1	0.0014
Candidatus Accumulibacter phosphatis	0.0026
Candidatus Amoebophilus asiaticus	0.0003
Candidatus Azobacteroides pseudotrichonymphae	0.0006
Candidatus Baumannia cicadellinicola	0.0003
Candidatus Blochmannia floridanus	0.0006
Candidatus Blochmannia pennsylvanicus	0.0003
Candidatus Desulforudis audaxviator	0.0003
Candidatus Hamiltonella defensa	0.0020
Candidatus Korarchaeum cryptofilum	0.0020
Candidatus Koribacter versatilis	0.0011
Candidatus Liberibacter asiaticus	0.0014
Candidatus Pelagibacter ubique	0.0026
Candidatus Phytoplasma australiense	0.0009
Candidatus Phytoplasma mali	0.0011
Candidatus Protochlamydia amoebophila	0.0014
Candidatus Regiella insecticola	0.0017
Candidatus Solibacter usitatus	0.0006
Capnocytophaga gingivalis	0.0003
Carboxydothermus hydrogenoformans	0.0006
Cardiobacterium hominis	0.0003
Catenulispora acidiphila	0.0014
Catonella morbi	0.0011
Caulobacter segnis	0.0003
Caulobacter sp. K31	0.0006
Caulobacter vibrioides	0.0003
Cellulomonas flavigena	0.0003
Cellvibrio japonicus	0.0006
Cenarchaeum symbiosum	0.0014
Chelativorans sp. BNC1	0.0003
Chitinophaga pinensis	0.0009
Chlamydia pneumoniae	0.0003
Chlamydia trachomatis	0.0028
Chlamydophila abortus	0.0003
Chlamydophila caviae	0.0003
Chlorobaculum parvum	0.0003
Chlorobaculum tepidum	0.0006
Chlorobium chlorochromatii	0.0006
Chlorobium phaeobacteroides	0.0020
Chlorobium phaeovibrioides	0.0003
Chloroflexus aurantiacus	0.0003
Chloroherpeton thalassium	0.0003
Chromobacterium violaceum	0.0011
Chromohalobacter salexigens	0.0006
Chthoniobacter flavus	0.0011
Citreicella sp. SE45	0.0006
Clavibacter michiganensis	0.0023
Clostridiales bacterium 1_7_47FAA	0.0006
Clostridiales genomosp. BVAB3	0.0009
Clostridium acetobutylicum	0.0003
Clostridium bartlettii	0.0003
Clostridium botulinum	0.0040
Clostridium butyricum	0.0006
Clostridium difficile	0.0009
